date,edits,lives,covid_edits,covid_lives,covid_edits_percent,covid_lives_percent,culumative_edits,culumative_lives
20210101,78,11,18,0,20,0,18,0
20210102,67,1,28,0,41,0,46,0
20210103,64,5,21,0,30,0,67,0
20210104,100,14,48,4,42,4,115,4
20210105,107,15,33,5,27,4,148,9
20210106,129,30,32,6,20,4,180,15
20210107,121,19,27,5,19,4,207,20
20210108,92,12,30,6,29,6,237,26
20210109,66,4,11,1,16,1,248,27
20210110,67,4,21,2,30,3,269,29
20210111,106,15,49,5,40,4,318,34
20210112,117,20,40,5,29,4,358,39
20210113,110,19,44,5,34,4,402,44
20210114,118,9,37,2,29,2,439,46
20210115,132,16,53,4,36,3,492,50
20210116,64,6,27,4,39,6,519,54
20210117,69,5,23,1,31,1,542,55
20210118,111,13,57,6,46,5,599,61
20210119,97,30,31,7,24,6,630,68
20210120,128,27,23,2,15,1,653,70
20210121,125,21,47,6,32,4,700,76
20210122,112,13,41,6,33,5,741,82
20210123,93,11,29,3,28,3,770,85
20210124,80,3,38,0,46,0,808,85
20210125,93,18,46,4,41,4,854,89
20210126,136,20,67,5,43,3,921,94
20210127,131,25,54,7,35,4,975,101
20210128,117,19,50,6,37,4,1025,107
20210129,96,18,42,7,37,6,1067,114
20210130,77,0,35,0,45,0,1102,114
20210131,86,8,34,2,36,2,1136,116
20210201,129,14,54,8,38,6,1190,124
20210202,128,21,54,3,36,2,1244,127
20210203,119,14,46,6,35,5,1290,133
20210204,92,15,31,4,29,4,1321,137
20210205,109,23,33,4,25,3,1354,141
20210206,56,2,13,0,22,0,1367,141
20210207,98,2,27,0,27,0,1394,141
20210208,108,14,41,5,34,4,1435,146
20210209,128,17,38,4,26,3,1473,150
20210210,119,19,44,7,32,5,1517,157
20210211,116,15,35,4,27,3,1552,161
20210212,121,18,46,3,33,2,1598,164
20210213,86,8,25,0,27,0,1623,164
20210214,97,6,37,2,36,2,1660,166
20210215,116,10,52,5,41,4,1712,171
20210216,131,12,46,2,32,1,1758,173
20210217,139,15,56,7,36,5,1814,180
20210218,107,17,27,4,22,3,1841,184
20210219,119,11,31,3,24,2,1872,187
20210220,87,7,31,0,33,0,1903,187
20210221,65,3,20,0,29,0,1923,187
20210222,98,20,34,7,29,6,1957,194
20210223,125,21,42,2,29,1,1999,196
20210224,120,15,50,6,37,4,2049,202
20210225,104,16,40,7,33,6,2089,209
20210226,121,17,54,7,39,5,2143,216
20210227,77,8,30,4,35,5,2173,220
20210228,65,7,19,2,26,3,2192,222